,sentence_id,word_sequence,passage_id,bin_id_audio,onset,offset,word,prominence_value,boundary_value,prominence_label,surprisal_2gram,surprisal_3gram,surprisal_4gram,surprisal_5gram,surprisal_6gram,surprisal_gpt2,surprisal_bert,sentence_seq,bin_id_video,word_prev,lemma_prev,syllable_num_prev,pos_prev,pos_detail_prev,word_len_prev,surprisal_prev,mean_f0_prev,meaningful_gesture_prev,beat_gesture_prev,gesture_corres_prev,mouth_dist_prev
0,1G,1,1,1,0.16,0.24,The,0,0.048,0,1.67849814215294,1.67849690695004,1.67849690695004,1.67849690695004,1.67849690695003,3.2781138,0.134995996952056,,,,,,,,,,,,,,
1,1G,2,1,2,0.24,0.69,baby,1.533,0.047,2,10.1792434074159,10.7643617654714,10.7548808969993,10.7548808969993,10.7548808969993,8.634267,3.52879095077514,1,1325,baby,baby,2,1,NN,4,9.352828106,293.6051219,0,0,0,0.176
2,1G,3,1,3,0.69,0.88,was,0.164,0.782,0,3.49998035248578,1.28862514968062,3.96347871169903,3.89999038065899,3.89999038065898,2.3397264,0.145031362771987,1,1326,was,be,1,0,VBD,3,3.427646034,244.4626807,0,0,0,
3,1G,4,1,4,0.88,1.844,screaming,0.925,0.721,1,11.4984807277822,11.8775924953554,11.9485667049412,11.8401071067618,11.8401071067617,8.653723,3.85552644729614,1,1327,screaming,scream,2,1,VBG,9,9.290063335,291.0627147,1,0,1,0.158
4,1G,5,1,5,1.844,1.926,and,0,0,0,2.24302553064078,2.81089908378146,2.60463200273225,2.60463200273225,2.60463200273225,1.7677996,0.731351912021637,,,,,,,,,,,,,,
5,1G,6,1,6,1.926,2.111,there,0.478,0.023,0,6.46601652852363,7.34142019431504,7.23763515288371,7.23763515288371,7.2376351528837,5.919793,0.000671876186970621,,,,,,,,,,,,,,
6,1G,7,1,7,2.111,2.28,was,0.074,0.269,0,1.77978025077701,1.50880528169235,1.51800548461689,1.51800548461689,1.51800548461689,0.31291717,0.00596090219914913,1,1328,was,be,1,0,VBD,3,3.623904242,199.8388771,0,1,1,
7,1G,8,1,8,2.28,2.748,nobody,0.651,0.078,1,11.0623322311541,6.64907195118817,7.10569352412952,6.57490323241653,6.57490323241652,6.015928,1.66571700572967,1,1329,nobody,nobody,3,1,NN,6,9.497377274,297.5211601,0,1,1,0.679
8,1G,9,1,9,2.748,3.28,answering,0.5,0.706,0,12.8989943988893,13.1275947718174,13.3084021252061,13.4093011836868,13.348646682586,7.549577,1.66456866264343,1,1330,answering,answer,3,1,VBG,9,8.034158931,195.2378408,0,1,1,1.02
9,1G,10,1,10,3.28,3.35,the,0.091,0,0,1.88240063311955,2.01052370073448,2.01052370073448,2.01052370073448,2.01052370073448,2.04772,0.0390390940010547,,,,,,,,,,,,,,
10,1G,11,1,11,3.35,3.997,door,1.018,1.884,1,8.61593987587047,9.35603392633698,9.29861181397769,9.29861181397769,9.29861181397769,0.41370586,0.373960196971893,1,1331,door,door,1,1,NN,4,8.473861734,180.9852594,0,0,0,0.547
11,1G,12,1,12,3.997,4.113,He,0,0,0,3.34230972183918,3.16353112058934,3.20452366194695,3.29998123992413,3.29998123992413,3.5322566,2.12030410766601,,,,,,,,,,,,,,
12,1G,13,1,13,4.113,4.29,had,0.986,0.026,1,3.5367866539746,3.49772020567051,3.84124577772939,3.89979055227891,3.83913632566777,2.46631,0.014404010027647,2,1332,had,have,1,0,VBD,3,4.493712359,228.8894249,0,0,0,
13,1G,14,1,14,4.29,4.42,to,0.27,0,0,3.09629545844388,3.61072974235006,3.64199986444648,3.59772333031526,3.59772333031526,2.8862438,0.00232485681772232,,,,,,,,,,,,,,
14,1G,16,1,15,4.51,4.835,break,1.239,0.303,1,6.64678984521026,6.07940131507451,6.22256736981483,6.26462410709214,6.23406408941776,6.504829,1.56777679920196,2,1333,break,break,1,1,VB,5,8.076661708,296.6252354,1,0,1,0.238
15,1G,17,1,16,4.835,4.881,a,0,0,0,4.36835187092957,3.77806322802918,3.21498912437416,3.06230377262711,3.06230377262711,4.008482,0.570436894893646,,,,,,,,,,,,,,
16,1G,18,1,17,4.881,5.35,window,0.61,0.494,1,8.37859865825145,4.06026591697438,3.91994329930709,3.96005582722169,3.89940160061055,0.99152374,0.441734135150909,2,1334,window,window,2,1,NN,6,7.711383198,234.5457155,0,0,0,0.138
17,1G,19,1,18,5.35,5.55,in,0.096,0,0,2.86878178957723,2.52221267757571,3.01018946436872,3.12167778005603,3.06102355344489,3.2648387,0.0545227229595184,,,,,,,,,,,,,,
18,1G,20,1,19,5.55,5.67,the,0,0.005,0,1.31239374732788,0.557378239976751,0.728936256814523,0.633102147820362,0.633102147820361,1.2913945,0.0337069742381572,,,,,,,,,,,,,,
19,1G,21,1,20,5.67,6.209,basement,1.215,0.991,1,9.3420108050717,7.57229059568156,8.16369366608619,8.19637219397677,8.15443897698933,3.0517623,4.53772735595703,2,1335,basement,basement,2,1,NN,8,10.63996647,220.1286012,1,0,1,0.629
20,1G,22,1,21,6.209,6.344,to,-0.01,0,0,3.98567750370668,3.44796293903256,4.44479199058733,4.19616980213837,4.19616980213836,1.5103774,0.0610348433256149,,,,,,,,,,,,,,
21,1G,23,1,22,6.344,6.62,get,0.822,0.286,1,5.46852925106857,6.44711902213016,6.59371015726408,6.47408103100511,6.41342652990444,0.5218659,0.156091704964637,2,1336,get,get,1,1,VB,3,5.962098293,197.5583957,0,1,1,0.915
22,1G,24,1,23,6.62,6.87,in,0.32,0.088,0,3.98419992655018,4.04337190968276,3.97363702033873,3.97363702033873,3.97363702033873,2.809617,3.26061964035034,,,,,,,,,,,,,,
23,2G,1,2,24,0.12,0.57,Close,1.197,0,1,9.87401214460458,9.87355539402156,9.87355539402156,9.87355539402156,9.87355539402155,9.129154,1.41852593421936,1,1337,Close,close,1,1,VB,5,8.134296256,392.4247141,1,0,1,0.477
24,2G,2,2,25,0.57,0.64,the,0,0,0,5.97039822761959,7.5480405433933,7.51759526234375,7.51759526234375,7.51759526234375,5.7920923,0.0323194600641727,,,,,,,,,,,,,,
25,2G,3,2,26,0.64,0.932,door,0.201,0.154,0,8.61593987587047,1.32235167860845,2.41727615255316,2.41727615255316,2.41727615255316,3.1303327,0.247712314128875,1,1338,door,door,1,1,NN,4,6.359362208,244.7565893,0,0,0,0.547
26,2G,4,2,27,0.932,1.13,and,0.408,0.089,0,2.60980750287821,2.39469197724109,2.71197278157492,2.64848445053488,2.64848445053488,2.3255754,0.12621484696865,,,,,,,,,,,,,,
27,2G,5,2,28,1.13,1.43,block,0.447,0.827,0,10.5580949589118,10.5221664749497,10.7458227424082,10.6577148961684,10.6577148961683,9.02995,4.44417142868042,1,1339,block,block,1,1,VB,5,8.493757211,232.2131329,1,0,1,0.631
28,2G,7,2,29,1.55,1.85,any,0.79,0.28,1,4.66478107788404,6.76324202961353,6.62891783171233,6.62891783171233,6.62891783171233,3.8526042,2.85470056533813,,,,,,,,,,,,,,
29,2G,9,2,30,1.9,2.32,gaps,1.476,0.924,1,8.60246847856665,8.82640088249539,8.50464150694005,8.50464150694005,8.50464150694004,8.794106,7.23617887496948,1,1340,gaps,gap,1,1,NNS,4,7.947279327,234.0329625,1,0,1,0.9
30,2G,10,2,31,2.32,2.71,round,0.927,0.128,1,11.2156851414455,11.4827579673281,11.3701019731672,11.3701019731672,11.3701019731671,10.768986,9.74377727508545,1,1341,round,round,1,1,VBP,5,8.86903161,223.6390663,1,0,1,0.175
31,2G,11,2,32,2.71,2.92,it,0.325,0.473,0,6.73784790495146,5.66433910437656,5.66433910437656,5.66433910437656,5.66433910437655,3.634998,0.249519914388656,,,,,,,,,,,,,,
32,2G,12,2,33,2.92,3.04,with,-0.018,0,0,4.87966136599133,5.02241788234832,4.91728345037243,4.91728345037243,4.91728345037242,3.8004482,2.03899526596069,,,,,,,,,,,,,,
33,2G,13,2,34,3.04,3.48,items,1.18,0.971,1,9.69076073641342,10.5059101068434,10.215761494895,10.215761494895,10.2157614948949,10.827944,3.26648545265197,1,1342,items,item,2,1,NNS,5,9.222866856,202.7412949,0,0,0,0.674
34,2G,14,2,35,3.48,3.56,of,0.1,0,0,3.18510517441973,3.57077147755304,3.54382099723848,3.54382099723848,3.54382099723848,2.2698343,0.170581966638565,,,,,,,,,,,,,,
35,2G,15,2,36,3.56,4.31,clothing,1.369,1.768,1,9.7946813756741,2.79396664795521,3.12129349470973,3.05780516366969,3.05780516366969,2.1444848,0.905378520488739,1,1343,clothing,clothing,2,1,NN,8,9.613381801,364.0384962,0,0,0,0.397
36,2G,17,2,37,4.83,5,Then,0,0,0,7.39865016400118,7.80909765666922,7.9190724370712,7.88223045194308,7.88223045194307,4.7661915,0.6233851313591,2,1344,Then, then,1,1,RB,4,6.667974252,249.7049337,0,0,0,
37,2G,18,2,38,5,5.31,open,1.353,0.304,1,10.8438747954519,11.3303251459515,11.1767855827776,11.1767855827776,11.1767855827775,4.2258563,0.631442010402679,2,1345,open,open,2,1,VB,4,6.326716788,309.3410852,1,0,1,0.516
38,2G,19,2,39,5.31,5.41,the,0.128,0,0,2.84393005623249,3.77740308070216,3.77740308070216,3.77740308070216,3.77740308070215,0.47023213,0.136713087558746,,,,,,,,,,,,,,
39,2G,20,2,40,5.41,5.884,window,0.53,0.15,1,9.24911586137522,8.07233366785862,7.83646810596937,7.83646810596937,7.83646810596937,4.1401362,3.32247447967529,2,1346,window,window,2,1,NN,6,7.199042778,270.3650088,0,0,0,0.138
40,2G,21,2,41,5.884,6.07,and,0.226,0.292,0,2.74432521590022,2.11814363543228,2.84225319967499,2.77876486863495,2.77876486863494,0.93362224,0.112382121384143,,,,,,,,,,,,,,
41,2G,22,2,42,6.07,6.39,call,0.349,0,0,9.68671805457043,9.7466446094294,9.89558592394543,9.80116152457072,9.80116152457071,6.662494,0.305189222097396,2,1347,call,call,1,1,VB,4,7.381342877,230.8701117,1,0,1,0.463
42,2G,23,2,43,6.39,6.562,for,0,0.099,0,2.30011866729468,1.98501291802086,2.16751181315711,2.16751181315711,2.16751181315711,2.564992,0.00145734404213726,,,,,,,,,,,,,,
43,2G,24,2,44,6.562,6.929,help,0.705,0.303,1,6.93988208291125,3.12672756399584,4.31842991057178,4.17777790546481,4.17777790546481,0.7901788,0.538432955741882,2,1348,help,help,1,1,NN,4,7.417423094,199.6226539,0,0,0,0.396
44,3G,1,3,45,0.29,0.49,I,0,0,0,6.29409220540398,6.29394453003519,6.29394453003519,6.29394453003519,6.29394453003519,3.9997332,0.254435896873474,,,,,,,,,,,,,,
45,3G,2,3,46,0.49,0.688,bought,0.719,0,1,9.29850970387139,10.0286024537111,10.0139655738499,10.0139655738499,10.0139655738498,5.5001516,1.37639093399047,1,1349,bought,buy,1,1,VBD,6,8.102717261,203.6110819,0,1,1,0.233
46,3G,3,3,47,0.688,0.76,a,0.341,0,0,2.15147105657903,1.98124335326326,1.94658644206311,1.94658644206311,1.94658644206311,1.95305,0.0511079244315624,,,,,,,,,,,,,,
47,3G,4,3,48,0.76,1.359,house,1.594,1.514,2,7.09116424416527,2.20093654084333,2.92523934571732,2.86175101467727,2.86175101467727,5.9414144,0.69329810142517,1,1350,house,house,1,1,NN,5,6.501650166,261.8571097,0,1,1,0.266
48,3G,5,3,49,1.359,1.507,in,0,0,0,2.55236398033535,1.58773502141502,0.577189041669109,0.918474230159104,0.918474230159104,1.312531,0.00930130574852228,,,,,,,,,,,,,,
49,3G,6,3,50,1.507,2.53,Northumberland,0.876,0.82,1,10.0434721006964,10.1022952076324,10.2976922286827,10.3056864618437,10.2389866032667,5.192765,8.27753734588623,1,1351,Northumberland,Northumberland,,0,NNP,14,,251.0936338,0,0,0,
50,3G,7,3,51,2.53,2.645,with,0.083,0,0,5.97071279262448,5.43836614525901,5.5352384422896,5.5352384422896,5.5352384422896,5.3812675,0.0215874016284942,,,,,,,,,,,,,,
51,3G,8,3,52,2.645,2.912,a,0.51,0.586,1,2.17753521019132,3.43814389945572,3.5426058320756,3.47911750103556,3.47911750103555,0.0013118718,0.0215401519089937,,,,,,,,,,,,,,
52,3G,9,3,53,2.912,3.33,big,1.395,0,1,6.88408988939932,6.74150136063657,6.59869049535203,6.59869049535203,6.59869049535203,4.118332,3.5186424255371,1,1352,big,big,1,1,JJ,3,7.537821169,253.1885812,1,0,1,0.493
53,3G,11,3,54,3.46,4.11,garden,1.634,1.718,2,11.6186061311169,12.1014266320313,12.1533304068178,12.0966439264072,12.0966439264071,1.4091537,2.43505382537841,1,1353,garden,garden,2,1,NN,6,7.74269079,221.8329343,0,1,1,0.929
54,3G,13,3,55,4.58,4.713,I,0,0,0,5.73697068176303,6.86371068850636,6.57800661107737,6.57800661107737,6.57800661107737,4.633975,0.0381093509495258,,,,,,,,,,,,,,
55,3G,14,3,56,4.713,4.94,even,1.354,0,1,7.64680626922299,6.63436589996463,6.47977339494183,6.47977339494183,6.47977339494183,7.3038335,1.45565891265869,2,1354,even,even,2,1,RB,4,7.016270097,327.8115124,0,0,0,0.77
56,3G,15,3,57,4.94,5.14,had,0.076,0,0,5.60270577360097,4.89699373306725,4.16608163197134,4.34108243377759,4.34108243377758,1.4160719,0.514248251914978,2,1355,had,have,1,0,VBD,3,4.670709888,280.6854644,0,0,0,
57,3G,16,3,58,5.14,5.22,to,0,0.326,0,3.09629545844388,3.19366320908166,3.5016341519225,3.55053418774868,3.48987996113754,6.4869757,0.00249717500992119,,,,,,,,,,,,,,
58,3G,17,3,59,5.22,5.56,pay,0.81,0.177,1,6.37088339717453,4.42809671371766,4.79119778131667,4.61124518833391,4.6112451883339,2.2690678,1.54494249820709,2,1356,pay,pay,1,1,VB,3,7.382722133,324.7569575,0,0,0,0.805
59,3G,18,3,60,5.56,5.98,someone,0.303,0.703,0,9.8829187809735,10.8362922965905,11.364281697108,11.2586383615378,11.2586383615378,3.1148448,1.72603797912597,2,1357,someone,someone,2,1,NN,7,8.142257648,226.3623296,0,0,0,0.67
60,3G,19,3,61,5.98,6.13,to,-0.002,0,0,2.81741354386971,1.35359750838119,1.56192641755802,1.56192641755802,1.56192641755802,3.7092295,0.0173834767192602,,,,,,,,,,,,,,
61,3G,20,3,62,6.13,6.47,cut,0.569,0,1,7.41206940829371,7.8316145820457,7.87536986055362,7.81188152951358,7.81188152951358,6.3339977,0.5319464802742,2,1358,cut,cut,1,1,VB,3,8.072901362,265.6211696,1,0,1,0.538
62,3G,21,3,63,6.47,6.56,the,0,0.319,0,2.73228336008461,1.65756543311656,1.84612450816384,1.84612450816384,1.84612450816383,0.52848697,0.647396862506866,,,,,,,,,,,,,,
63,3G,22,3,64,6.56,7.04,grass,0.997,0.764,1,10.1404338813147,6.7276045045565,6.38354120750234,6.47804081700912,6.47804081700912,4.766793,1.1985250711441,2,1359,grass,grass,1,1,NN,5,9.3663957,241.6678215,0,0,0,0.932
64,3G,23,3,65,7.04,7.105,the,0,0,0,7.61555179302996,8.15763074127983,8.05270382339094,8.10160413370665,8.04094963260598,1.6178653,0.0569104067981243,,,,,,,,,,,,,,
65,3G,24,3,66,7.105,7.29,other,0.526,0.105,1,5.66786245202299,6.92787865563028,6.92787865563028,6.92787865563028,6.92787865563027,1.9623468,4.86547136306762,2,1360,other,other,2,1,JJ,5,6.266124254,205.4570724,0,0,0,0.753
